Col_0-Milieu_1-Plate_1;Milieu_1
Col_0-Milieu_1-Plate_2;Milieu_1
Col_0-Milieu_2-Plate_1;Milieu_2
Col_0-Milieu_2-Plate_2;Milieu_2
Col_0-Milieu_3-Plate_1;Milieu_3
Col_0-Milieu_3-Plate_2;Milieu_3
Col_0-Milieu_4-Plate_1;Milieu_4
Col_0-Milieu_4-Plate_2;Milieu_4
Col_0-Milieu_5-Plate_1;Milieu_5
Col_0-Milieu_5-Plate_2;Milieu_5
nrt-Milieu_1-Plate_1;Milieu_1
nrt-Milieu_1-Plate_2;Milieu_1
nrt-Milieu_1-Plate_3;Milieu_1
nrt-Milieu_2-Plate_1;Milieu_2
nrt-Milieu_3-Plate_1;Milieu_3
nrt-Milieu_3-Plate_2;Milieu_3
nrt-Milieu_3-Plate_3;Milieu_3
nrt-Milieu_4-Plate_1;Milieu_4
nrt-Milieu_4-Plate_2;Milieu_4
nrt-Milieu_5-Plate_1;Milieu_5
nrt-Milieu_5-Plate_2;Milieu_5
nrt-Milieu_5-Plate_3;Milieu_5
sex1-Milieu_1-Plate_1;Milieu_1
sex1-Milieu_1-Plate_2;Milieu_1
sex1-Milieu_2-Plate_1;Milieu_2
sex1-Milieu_2-Plate_2;Milieu_2
sex1-Milieu_3-Plate_1;Milieu_3
sex1-Milieu_3-Plate_2;Milieu_3
sex1-Milieu_4-Plate_1;Milieu_4
sex1-Milieu_4-Plate_2;Milieu_4
sex1-Milieu_5-Plate_1;Milieu_5
sex1-Milieu_5-Plate_2;Milieu_5
pgm-Milieu_1-Plate_1;Milieu_1
pgm-Milieu_2-Plate_1;Milieu_2
pgm-Milieu_2-Plate_2;Milieu_2
pgm-Milieu_3-Plate_1;Milieu_3
pgm-Milieu_3-Plate_2;Milieu_3
pgm-Milieu_4-Plate_1;Milieu_4
pgm-Milieu_4-Plate_2;Milieu_4
pgm-Milieu_5-Plate_1;Milieu_5
pgm-Milieu_5-Plate_2;Milieu_5
